"Date","RegionID","RegionName","State","Metro","SizeRank","Zhvi","MoM","QoQ","YoY","5Year","10Year","PeakMonth","PeakQuarter","PeakZHVI","PctFallFromPeak","LastTimeAtCurrZHVI"
2017-04-30,1992,"Rapides","LA","Alexandria",416,148400,-0.00201748486886348,0.0150478796169631,0.0871794871794872,0.115547705888657,0.0550946419423104,"2017-03","2017-Q1",148700,-0.00201748486886348,"2017-03"
2017-04-30,2524,"Sandoval","NM","Albuquerque",417,172300,0.000580720092915215,0.00937316930287053,0.0551132884262094,0.0187722925967864,,"2010-03","2010-Q1",172700,-0.00231615518239722,
2017-04-30,1634,"Cochise","AZ","Sierra Vista",418,137500,0.0043827611395179,0.0200296735905045,0.044039483675019,0.00323108512461512,-0.0230995987781032,"2006-12","2006-Q4",174300,-0.211130235226621,"2005-02"
2017-04-30,2628,"Berkshire","MA","Pittsfield",419,200100,-0.0004995004995005,-0.000998502246630055,0.00250501002004008,0.0106253231307583,-0.0089395785151074,"2007-12","2007-Q4",221400,-0.0962059620596206,"2005-07"
2017-04-30,711,"Scott","MN","Minneapolis-St Paul",420,284400,0.000351741118536757,0.00352858151023289,0.0797266514806378,0.0646700091804706,0.00173945162731237,"2017-04","2017-Q2",284400,0,"2017-04"
2017-04-30,2556,"Stafford","VA","Washington",421,317100,0.0082670906200318,0.00955109837631328,0.0479180436219432,0.0365495647679126,-0.0144813370080287,"2006-04","2006-Q2",397500,-0.202264150943396,"2004-10"
2017-04-30,2729,"Hunterdon","NJ","New York",422,366500,-0.00892374256354786,-0.011863035858722,0.018621456364647,0.0147063287331202,-0.0167398621265297,"2006-07","2006-Q3",447000,-0.180089485458613,"2004-03"
2017-04-30,2958,"Livingston","LA","Baton Rouge",423,176400,0.00170357751277683,0.0285714285714286,0.12,0.0482072553126063,,"2017-04","2017-Q2",176400,0,"2017-04"
2017-04-30,960,"Coweta","GA","Atlanta",424,178400,0.00224719101123596,0.0113378684807256,0.0676241771394375,0.0585916568674358,0.014290573645956,"2017-04","2017-Q2",178400,0,"2017-04"
2017-04-30,387,"Blair","PA","Altoona",425,118400,0.0154373927958834,0.0505767524401065,0.0932594644506002,0.0483541489811732,0.0191941003326046,"2017-04","2017-Q2",118400,0,"2017-04"
2017-04-30,3071,"Washington","RI","Providence",426,341500,0.00117267663441806,0.00117267663441806,0.05924317617866,0.0318850551940368,-0.00649669189136581,"2006-06","2006-Q2",378500,-0.0977542932628798,"2004-10"
2017-04-30,2844,"Sebastian","AR","Fort Smith",427,112400,0.00716845878136201,0.0293040293040293,0.05937794533459,0.0214168808737034,0.00673776323776543,"2017-04","2017-Q2",112400,0,"2017-04"
2017-04-30,335,"Wood","OH","Toledo",428,140200,0.00286123032904149,0.0115440115440115,0.0885093167701863,0.029214427189556,0.00836051252722503,"2017-04","2017-Q2",140200,0,"2017-04"
2017-04-30,2506,"Richland","OH","Mansfield",429,92600,0.0131291028446389,0.0232044198895028,0.0416197975253093,0.0271294784049247,-0.00835060418518618,"2005-11","2005-Q4",106000,-0.126415094339623,"2002-10"
2017-04-30,2213,"Columbia","GA","Augusta",430,172000,0.00526008182349503,0.0111699000587889,0.026865671641791,0.0282988986929427,0.00205798745736141,"2017-04","2017-Q2",172000,0,"2017-04"
2017-04-30,2851,"Strafford","NH","Boston",431,222300,0.00451875282422051,0.0150684931506849,0.0610978520286396,0.0480551065934967,-0.00524365623944201,"2005-11","2005-Q4",239400,-0.0714285714285714,"2004-11"
